"Title","Posting_Time","Author"
"Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X","9th February 2024","Shinjinee Majumder"
"Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’","10th February 2024","Abhishek Kumar"
"Viral ‘exclusive’ video of Virat Kohli at Ram Mandir consecration is actually an old clip from a Ganesh Chaturthi event","5th February 2024","Oishani Bhattacharya"
"Burj Khalifa photos with Hindu deity Ram’s image projected on it are edited","27th January 2024","Mohammed Zubair"
"Fight over ‘Akshata’ distribution injures 4 in Karnataka; Rahul Shivshankar calls it ‘Hindumesia’ in misleading tweet","23rd January 2024","Oishani Bhattacharya"
"An MBA from Australia, Neha Patel now leads violent cow-vigilantes in Gujarat","25th January 2024","Shinjinee Majumder"
"Bangladeshi short film scenes shared to claim sexual abuse in Indian madrasas","20th January 2024","Shinjinee Majumder"
"Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X","19th January 2024","Oishani Bhattacharya"
"Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’","19th January 2024","Priyanka Jha"
"Mira Road clashes: Police thrashing detainees to rail station on fire — Unrelated visuals falsely viral","9th February 2024","Shinjinee Majumder"
"Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers","9th February 2024","Abhishek Kumar"
"Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it","6th February 2024","Oishani Bhattacharya"
"Misleading video claiming dry ginger can cure Omicron is scientifically baseless","3rd February 2024","Mohammed Zubair"
"Magical stone melting metal nails? No, the nails are made of gallium","3rd February 2024","Oishani Bhattacharya"
"Fake chart shows COVID-19 variant “timeline” predicting release dates","1st February 2024","Shinjinee Majumder"
"Darbhanga land dispute falsely reported as case of forced religious conversion, viral with communal spin","1st February 2024","Shinjinee Majumder"
"Karnataka SSLC exam: Paper scheduled in 2nd half on Friday to avoid clash with pre-uni test; BJP sees ‘appeasement’","31st January 2024","Archit"
"Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers","24th January 2024","Kinjal"
"Mira Road clashes: Police thrashing detainees to rail station on fire — Unrelated visuals falsely viral","24th January 2024","Archit"
"Three of Bangladeshi Hindu family killed by relative: Crime falsely communalized by Indian X users","22nd January 2024","-"
"Alwar family feud over property given communal spin on social media","21st January 2024","Abhishek Kumar"
"Scuba diver’s underwater stunt with saffron flag falsely viral as Indian Navy celebrating Ram Mandir consecration","21st January 2024","-"
"Did Italian PM congratulate Hindus on Ram Mandir? No, viral clip shows her thanking followers for birthday wishes","20th January 2024","Oishani Bhattacharya"
"Congress-linked X handles share Puri Rath Yatra footage as crowd at Rahul Gandhi’s march","15th January 2024","-"
"Truck that caught fire in Unnao was not headed to Ayodhya Ram Mandir; misreport by Republic, NDTV, Mint et al","16th January 2024","Shinjinee Majumder"
"Old video viral as Pakistan retaliating to missile-strikes by Iran","15th January 2024","-"
"Old video of procession by Dhirendra Shastri’s followers falsely shared as Hindus from Nepal arriving at Ayodhya","15th January 2024","Oishani Bhattacharya"
"None of the 11 spots marked in aerial view shot of Golden Temple is a church","12th January 2024","-"
